City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
336,Sunrise,US,86.0,Clouds,26.1577,-80.2861,"Holiday Inn Express & Suites Ft. Lauderdale-Plantation, an IHG Hotel"
340,Lagoa,PT,70.5,Clouds,39.05,-27.9833,Casa Das Faias
342,Beyneu,KZ,60.94,Clear,45.3167,55.2,NUR
343,San Felipe,VE,86.14,Clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
346,Paita,PE,71.44,Clouds,-5.0892,-81.1144,Hotel Náutico de Paita
348,San Jose,US,79.92,Haze,37.3394,-121.895,The Westin San Jose
352,Lambarene,GA,77.52,Rain,-0.7001,10.2406,Le Refuge
353,Halifax,CA,61.34,Clouds,44.6453,-63.5724,Hotel Halifax
354,Ixtapa,MX,85.23,Clear,20.7,-105.2,hotel la terminal
357,Sao Joao Da Barra,BR,80.69,Clouds,-21.6403,-41.0511,Pousada Porto De Canoas
358,Blackfoot,US,70.54,Clouds,43.1905,-112.345,Super 8 by Wyndham Blackfoot/Idaho Falls
359,Numaligarh,IN,73.76,Rain,26.6333,93.75,Mumai Hotel
361,Salalah,OM,77.7,Clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
364,Camacha,PT,69.22,Clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
365,Bauchi,NG,80.08,Clouds,10.5,10.0,
366,Ukiah,US,88.05,Clear,39.1502,-123.2078,Hampton Inn Ukiah
367,Samarai,PG,80.08,Clouds,-10.6167,150.6667,Nuli Sapi
370,Moncao,PT,78.51,Clear,42.0789,-8.4808,Hotel Bienestar Termas de Monção
371,Anloga,GH,79.74,Rain,5.7947,0.8973,Pin Drop Hotel
372,Avera,US,81.91,Clouds,33.194,-82.5271,
373,Santa Rosa,PH,81.1,Clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
375,Ambilobe,MG,72.3,Clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
376,Jalalpur Pirwala,PK,80.87,Clear,29.5069,71.2192,Bhatti Easy Paisa Shop
380,Asmar,AF,69.24,Clear,35.0333,71.3581,COP Monti
381,Bulawayo,ZW,75.31,Clear,-20.15,28.5833,4 On Housman Backpackers
382,Mitsamiouli,KM,77.31,Clouds,-11.3847,43.2844,Foyer ADM
383,Isla Mujeres,MX,86.16,Clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
384,Kimbe,PG,73.62,Clouds,-5.5502,150.1429,Kimbe Bay Hotel
386,Santomera,ES,75.67,Clouds,38.0615,-1.0488,Apartamentos Turísticos Shoal
387,Banes,CU,86.92,Clouds,20.9625,-75.7186,Hostal Iván y yailet
390,Jijiga,ET,69.67,Rain,9.35,42.8,RAMAAS HOTEL
391,Sabha,LY,79.83,Clear,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
394,Sawtell,AU,68.02,Rain,-30.3833,153.1,The Bungalow Sawtell
395,Coquimbo,CL,62.33,Clouds,-29.9533,-71.3436,Hotel San Juan
397,Faanui,PF,77.97,Clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
400,Mazara Del Vallo,IT,75.15,Clear,37.6641,12.588,Vizier Resort & Spa
402,Taltal,CL,61.38,Clouds,-25.4,-70.4833,Residencial Karime
405,Soyo,AO,77.2,Clouds,-6.1349,12.3689,Hospedaria ndozi'ame
406,Pulandian,CN,60.31,Clouds,39.3953,121.9669,HR East Hotel
407,Airai,TL,62.35,Rain,-8.9266,125.4092,
410,Uige,AO,70.75,Rain,-7.6087,15.0613,Hotel Catraio
411,Rocha,UY,63.75,Rain,-34.4833,-54.3333,Hotel Arrarte
413,Nouadhibou,MR,75.18,Clouds,20.931,-17.0347,El Medina
414,Antalaha,MG,68.76,Clouds,-14.9003,50.2788,Hotel Vitasoa
415,Arimis,HN,85.96,Clouds,14.7833,-86.0,
423,Inhambane,MZ,72.99,Clear,-23.865,35.3833,Oceano
424,Luis Correia,BR,89.6,Clouds,-2.8792,-41.6669,Hotel Amarração
426,Mersing,MY,76.91,Clouds,2.4312,103.8405,Timotel Hotel
427,Morro Bay,US,68.88,Clear,35.3658,-120.8499,Inn at Morro Bay
428,Miandrivazo,MG,80.8,Clear,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
431,Mungwi,ZM,77.43,Clouds,-10.1732,31.3694,Ilamfya Guest House
433,San Policarpo,PH,80.17,Clear,12.1791,125.5072,Agapita M. Nicart
439,Pitimbu,BR,86.59,Clear,-7.4706,-34.8086,Reserva do Abiaí
440,Maryborough,AU,70.11,Clouds,-25.5333,152.7,Blue Shades Motel
441,Nanakuli,US,77.86,Clouds,21.3906,-158.1547,Camp Pālehua
446,Natal,BR,86.65,Clouds,-5.795,-35.2094,Villa Park Hotel | Natal
447,Sur,OM,81.41,Clear,22.5667,59.5289,Sur Plaza Hotel
449,Gorele,TR,64.26,Rain,41.0308,39.0031,Görele Öğretmenevi
453,Kaset Sombun,TH,74.95,Clouds,16.2805,101.9542,โรงแรมบุญเทวา
454,Kushima,JP,66.9,Clouds,31.4583,131.2333,Hanaoka
456,Kokoda,PG,72.99,Clouds,-8.8785,147.7407,Daito Guest House
463,Mul,IN,75.74,Clouds,20.0667,79.6667,sai Dorlikar
464,Esna,EG,84.22,Clear,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
467,Isangel,VU,74.93,Clouds,-19.55,169.2667,Tanna Lodge
469,Tapes,BR,74.98,Clear,-30.6733,-51.3958,Cabanas Camping Union
471,Liwale,TZ,73.09,Clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
472,Magrath,CA,68.32,Clouds,49.4167,-112.8686,Lindenbaum Bed & Breakfast
475,Seoul,KR,60.24,Clear,37.5683,126.9778,LOTTE HOTEL SEOUL
476,Guilin,CN,68.11,Clouds,25.2819,110.2864,Grand 0773 Hotel
478,Beloha,MG,75.74,Clear,-25.1667,45.05,
482,Basco,PH,82.54,Clear,20.4487,121.9702,Nathaniel's Lodge
483,Sulangan,PH,82.76,Clouds,11.1373,123.7228,Maia's Beach Resort
485,Kwakoa,TZ,74.37,Clouds,-3.7667,37.7167,MJI Mwema Lodge
488,Lasem,ID,80.06,Clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
489,Calatrava,PH,79.14,Clouds,10.595,123.4838,Cassandras Beach
491,Kabanjahe,ID,63.7,Rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
493,Honiara,SB,76.95,Clear,-9.4333,159.95,Heritage Park Hotel
496,Ishigaki,JP,78.93,Clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
498,Kihei,US,78.82,Clouds,20.785,-156.4656,Maui Sunset
500,Caramay,PH,79.75,Clouds,10.1815,119.236,Peace and Love Beach Club
501,Lazaro Cardenas,MX,84.74,Clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
502,Itoman,JP,77.02,Clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
504,Cervo,ES,63.97,Clouds,43.6702,-7.4101,Hotel Spa Galatea
507,Road Town,VG,89.69,Clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
508,Zhuhai,CN,82.11,Clouds,22.2769,113.5678,珠海粤财假日酒店
509,Solana Beach,US,83.59,Clouds,32.9912,-117.2711,Hilton San Diego/Del Mar
512,Khargone,IN,75.31,Clouds,21.8167,75.6,SPOT ON 63187 Vallabha Hotel
513,Alikalia,SL,77.23,Rain,9.1667,-11.4,
515,Puerto Narino,CO,83.75,Clouds,-3.7703,-70.3831,Eware Refugio Amazonico
516,Sola,VU,80.98,Clouds,-13.8833,167.55,Leumerus Bungalows
517,Kalutara,LK,78.46,Clouds,6.5831,79.9593,Tangerine Beach Hotel
518,Whitefish,US,61.77,Clear,48.4111,-114.3376,Best Western Rocky Mountain Lodge
520,La Zumbadora,HN,72.88,Clouds,15.0167,-88.9,Casa chacon
521,Juba,SS,72.01,Rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
523,Alanya,TR,69.93,Clouds,36.5438,31.9998,Panorama Hotel
526,Dhidhdhoo,MV,81.7,Clouds,6.8833,73.1,Dhidhoo beach
529,Denizli,TR,63.16,Rain,37.8402,29.0698,Anemon Denizli Hotel
531,Mihai Bravu,RO,68.04,Clouds,44.1406,26.0628,
532,Turbo,CO,82.53,Clouds,8.0937,-76.7269,Hotel Plaza Manfortt
533,Ca Mau,VN,73.51,Rain,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
538,Sorong,ID,79.38,Rain,-0.8833,131.25,Waigo Splash Hotel
539,Veraval,IN,81.75,Rain,20.9,70.3667,Lords Inn Somnath
540,Tacuarembo,UY,73.98,Clouds,-31.7333,-55.9833,Complejo San Fructuoso
542,Iberia,US,86.97,Clear,29.9502,-91.7507,back to back rv park
544,Puerto Palomas,MX,67.48,Clouds,31.7667,-107.6167,Hotel San Carlos
545,Bam,IR,71.47,Clear,29.106,58.357,Bam Tourist Hotel
547,Olinda,BR,82.13,Clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
548,Vila Franca Do Campo,PT,76.19,Clouds,37.7167,-25.4333,Pestana Bahia Praia
549,Chitral,PK,65.28,Clear,35.8462,71.7858,PTDC Motel Chitral
550,Karratha,AU,73.74,Clear,-20.7377,116.8463,ibis Styles Karratha
551,Paka,MY,73.33,Rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
553,Alugan,PH,79.84,Clear,12.2188,125.4808,JM Lodge
554,Hirara,JP,79.9,Clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
556,Caravelas,BR,82.72,Clouds,-17.7125,-39.2481,Pousada dos Navegantes
558,Mangrol,IN,81.97,Clouds,21.1167,70.1167,Hotel The Royal Honours
560,Castelo Branco,PT,79.0,Clear,39.8222,-7.4909,MELIÃ Castelo Branco
561,Hervey Bay,AU,70.02,Clouds,-25.2986,152.8535,Shelly Bay Resort
562,Grand-Lahou,CI,78.42,Clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
564,Nikki,BJ,76.75,Clouds,9.9401,3.2108,Monnon
567,Nioki,CD,76.51,Clouds,-2.7167,17.6833,
570,Along,IN,70.11,Clouds,28.1667,94.7667,Hotel West
571,Tautira,PF,76.44,Rain,-17.7333,-149.15,Pension Oaoa
573,Poum,NC,75.7,Clouds,-20.2333,164.0167,
575,Bongandanga,CD,71.74,Rain,1.5,21.05,
579,Rio Grande,BR,82.51,Clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
580,Baberu,IN,79.56,Clouds,25.55,80.7167,Neelam Palace
582,Biak,ID,76.5,Clouds,-0.9131,122.8766,Penginapan Kim
583,Abha,SA,71.42,Clear,18.2164,42.5053,Abha Hotel
588,Sumenep,ID,80.82,Clouds,-7.0167,113.8667,Family Nur Hotel
589,Saint-Joseph,RE,70.18,Clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
590,Reno,US,73.47,Clear,39.5296,-119.8138,Eldorado Resort Casino
592,Marzuq,YE,75.18,Clouds,14.4,46.4667,حيد القفلة
594,Doka,SD,77.07,Rain,13.5167,35.7667,منصور عثمان
598,Faya,SA,71.71,Clouds,18.3851,42.4509,شيلة نسايم
600,Pilot Butte,CA,60.53,Clouds,50.4668,-104.4178,Sleep Inn Regina East
603,Hualmay,PE,67.41,Clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
606,Behat,IN,67.93,Clouds,30.1667,77.6167,New Taj Gupta Transport Agency
607,Gumdag,TM,68.13,Clear,39.2061,54.5906,
609,Baghdad,IQ,85.91,Clear,33.3406,44.4009,Baghdad Hotel
610,Sao Jose Da Coroa Grande,BR,81.59,Clear,-8.8978,-35.1478,Crôa Mares Hotel
612,Puerto Colombia,CO,86.09,Clouds,10.9878,-74.9547,Hotel El Emigrante
613,West Covina,US,87.85,Haze,34.0686,-117.939,Courtyard by Marriott Los Angeles Baldwin Park
617,Bac Lieu,VN,74.8,Clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
619,Rajaldesar,IN,75.24,Clouds,28.0333,74.4667,Shree karni resorts rajana rajaldesar
627,Voh,NC,72.72,Clouds,-20.9667,164.7,Le gîte du Koniambo
629,Turbat,PK,84.47,Clear,26.0023,63.044,Mubashar Quarters
631,Chiredzi,ZW,76.51,Clear,-21.05,31.6667,Clevers Hotel Chiredzi
632,Goose Creek,US,84.09,Clouds,32.981,-80.0326,"Holiday Inn Express & Suites Charleston-North, an IHG Hotel"
633,Tsabong,BW,86.29,Clouds,-26.0217,22.401,Springbok Motel
636,Palencia,ES,69.8,Clear,42.4167,-4.5,Hotel Area de Servicio Los Chopos
637,Puri,IN,81.12,Rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
639,Richards Bay,ZA,70.97,Clear,-28.783,32.0377,BON Hotel Waterfront Richards Bay
640,Bowen,AU,72.75,Clear,-20.0167,148.2333,Castle Motor Lodge Motel
641,Qena,EG,81.64,Clear,26.1615,32.7183,"Grand hotel ""Quena"""
643,Cudahy,US,87.06,Haze,33.9606,-118.1853,Quality Inn & Suites Bell Gardens-Los Angeles
645,Ankazoabo,MG,78.8,Clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
646,Namatanai,PG,78.69,Rain,-3.6667,152.4333,Seagulls Inn Namatani
647,Praia,CV,86.54,Clouds,14.9215,-23.5087,LT Aparthotel
649,Cap Malheureux,MU,71.47,Clouds,-19.9842,57.6142,Pereybere Hotel & Spa
650,Lasa,IT,65.28,Clouds,46.6166,10.7002,Pension Feldgärtenhof
651,Ranong,TH,77.94,Clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
653,Bafq,IR,69.57,Clear,31.6128,55.4107,Alamdar Hotel
655,Edd,ER,88.92,Clouds,13.9297,41.6925,
656,Karaton,ID,73.9,Rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
657,Providencia,MX,88.05,Clouds,28.7167,-111.5833,
658,Kaoma,ZM,73.42,Clear,-14.7833,24.8,KAOMA AIRPORT
660,Buin,CL,70.43,Clear,-33.7333,-70.75,Paihuen
662,Charters Towers,AU,67.89,Clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
667,Vangaindrano,MG,67.41,Clear,-23.35,47.6,Hotel Fanilo
668,Port Blair,IN,80.64,Mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
669,Diapaga,BF,83.41,Clouds,12.0708,1.7889,Hôtel GACILIE
670,Nyimba,ZM,82.83,Clear,-14.5566,30.8149,Dali Dali Lodge
672,Saint-Francois,FR,60.24,Clear,46.4154,3.9054,Maison Vin d'Hus
673,Babu,CN,67.93,Clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
676,Kingaroy,AU,62.64,Rain,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
678,Mashhad,IR,60.94,Clear,36.297,59.6062,Khanye Sabz Hotel
680,Wiset Chai Chan,TH,75.42,Clouds,14.5989,100.3617,Wiset Inn Hotel
682,Bose,IT,64.76,Rain,45.4612,8.0137,Locanda Borgo Antico
685,Ranchi,IN,73.51,Haze,23.35,85.3333,"Radisson Blu Hotel, Ranchi"
687,Akyab,MM,81.39,Clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
688,Ratnagiri,IN,76.71,Clouds,16.9833,73.3,Hotel Landmark
