City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2022-10-02 00:54:28,-9.8,-139.0333,76.87,74,5,17.94
1,Bathsheba,BB,2022-10-02 00:54:28,13.2167,-59.5167,83.01,78,40,13.8
2,Hithadhoo,MV,2022-10-02 00:54:29,-0.6,73.0833,81.32,70,36,14.25
3,Jilib,SO,2022-10-02 00:54:30,0.4883,42.7854,70.54,93,44,4.25
4,Mar Del Plata,AR,2022-10-02 00:50:01,-38.0023,-57.5575,59.95,75,0,6.91
5,Punta Arenas,CL,2022-10-02 00:50:44,-53.15,-70.9167,42.91,61,0,14.97
6,New Norfolk,AU,2022-10-02 00:54:31,-42.7826,147.0587,62.71,34,29,5.99
7,Mataura,NZ,2022-10-02 00:54:31,-46.1927,168.8643,54.95,55,32,3.78
8,Hermanus,ZA,2022-10-02 00:54:32,-34.4187,19.2345,55.17,82,25,10.18
9,Bredasdorp,ZA,2022-10-02 00:54:32,-34.5322,20.0403,50.88,90,39,3.74
10,Port Elizabeth,ZA,2022-10-02 00:54:33,-33.918,25.5701,54.32,97,0,4.61
11,Dalnegorsk,RU,2022-10-02 00:54:33,44.5604,135.5701,55.4,83,100,4.36
12,Clyde River,CA,2022-10-02 00:54:34,70.4692,-68.5914,28.63,80,75,10.36
13,Jamestown,US,2022-10-02 00:54:23,42.097,-79.2353,55.04,58,0,13.8
14,Dikson,RU,2022-10-02 00:54:34,73.5069,80.5464,33.42,99,100,14.23
15,Mahebourg,MU,2022-10-02 00:54:35,-20.4081,57.7,70.25,60,40,9.22
16,Butaritari,KI,2022-10-02 00:54:35,3.0707,172.7902,82.22,74,34,15.5
17,San Luis,AR,2022-10-02 00:54:36,-33.295,-66.3356,65.46,36,0,6.38
18,Faya,SA,2022-10-02 00:54:36,18.3851,42.4509,60.91,58,0,1.5
19,Busselton,AU,2022-10-02 00:54:37,-33.65,115.3333,55.33,74,100,16.71
20,Kahului,US,2022-10-02 00:54:37,20.8947,-156.47,82.85,77,29,10.0
21,Maine-Soroa,NE,2022-10-02 00:54:38,13.2114,12.0241,87.78,39,14,7.18
22,Lebu,CL,2022-10-02 00:54:38,-37.6167,-73.65,49.15,89,100,7.67
23,Cape Town,ZA,2022-10-02 00:50:02,-33.9258,18.4232,61.38,76,0,5.75
24,Kizema,RU,2022-10-02 00:54:39,61.113,44.8302,47.89,98,100,5.37
25,Gorom-Gorom,BF,2022-10-02 00:54:39,14.4439,-0.2361,84.24,56,89,8.81
26,Gazanjyk,TM,2022-10-02 00:54:40,39.2446,55.5154,59.38,32,6,11.21
27,Meulaboh,ID,2022-10-02 00:50:54,4.1363,96.1285,77.67,86,100,7.05
28,Kruisfontein,ZA,2022-10-02 00:54:41,-34.0033,24.7314,54.03,87,76,4.34
29,Bukachacha,RU,2022-10-02 00:54:41,52.9833,116.9167,29.79,66,1,11.3
30,Ushuaia,AR,2022-10-02 00:54:42,-54.8,-68.3,42.46,56,20,24.16
31,Crotone,IT,2022-10-02 00:54:42,39.0851,17.1178,67.19,56,0,6.04
32,Chokurdakh,RU,2022-10-02 00:54:43,70.6333,147.9167,24.46,78,100,7.7
33,Nanortalik,GL,2022-10-02 00:54:43,60.1432,-45.2371,39.94,78,100,1.68
34,Nicoya,CR,2022-10-02 00:54:44,10.1483,-85.452,73.53,95,98,4.47
35,Ballina,AU,2022-10-02 00:54:44,-28.8667,153.5667,57.24,90,100,7.83
36,Ahipara,NZ,2022-10-02 00:54:45,-35.1667,173.1667,62.6,89,79,12.26
37,Kodiak,US,2022-10-02 00:54:45,57.79,-152.4072,47.59,88,100,5.01
38,Tarata,BO,2022-10-02 00:54:46,-17.6167,-66.0167,65.62,60,6,5.97
39,Birin,NP,2022-10-02 00:54:46,26.8865,88.0718,60.8,79,11,4.83
40,Powell River,CA,2022-10-02 00:54:47,49.8496,-124.5361,73.67,53,20,8.05
41,Tiarei,PF,2022-10-02 00:54:47,-17.5333,-149.3333,75.22,71,78,9.24
42,Sao Joao Da Barra,BR,2022-10-02 00:54:48,-21.6403,-41.0511,71.69,82,53,11.23
43,Vaini,TO,2022-10-02 00:54:48,-21.2,-175.2,80.76,69,20,13.8
44,Rikitea,PF,2022-10-02 00:54:49,-23.1203,-134.9692,73.74,71,0,13.6
45,Opuwo,NA,2022-10-02 00:55:49,-18.0607,13.84,70.97,27,3,6.69
46,Sabha,LY,2022-10-02 00:55:50,27.0377,14.4283,84.79,16,0,9.93
47,Oistins,BB,2022-10-02 00:55:50,13.0667,-59.5333,82.49,78,40,13.8
48,Fortuna,US,2022-10-02 00:55:51,40.5982,-124.1573,72.91,67,84,1.01
49,Buala,SB,2022-10-02 00:55:51,-8.145,159.5921,85.8,65,24,3.76
50,Pevek,RU,2022-10-02 00:55:52,69.7008,170.3133,33.55,80,100,4.9
51,Praia Da Vitoria,PT,2022-10-02 00:55:52,38.7333,-27.0667,72.75,88,20,17.65
52,Richards Bay,ZA,2022-10-02 00:51:42,-28.783,32.0377,68.94,82,100,10.33
53,Port Lincoln,AU,2022-10-02 00:55:53,-34.7333,135.8667,64.49,63,99,4.94
54,Sahbuz,AZ,2022-10-02 00:55:53,39.4072,45.5739,62.2,52,0,6.02
55,Saskylakh,RU,2022-10-02 00:55:54,71.9167,114.0833,30.13,97,100,11.21
56,Tsagan Aman,RU,2022-10-02 00:55:54,47.5639,46.7218,63.43,74,39,7.61
57,Saint-Joseph,RE,2022-10-02 00:55:55,-21.3667,55.6167,68.38,73,40,10.76
58,Luang Prabang,LA,2022-10-02 00:55:56,19.8856,102.1347,76.96,94,100,0.0
59,Sherlovaya Gora,RU,2022-10-02 00:55:56,50.5667,116.25,30.85,50,87,19.55
60,Skhisma,GR,2022-10-02 00:55:56,35.2667,25.7167,78.69,42,2,6.96
61,Hobart,AU,2022-10-02 00:55:57,-42.8794,147.3294,63.05,52,75,17.27
62,Bethel,US,2022-10-02 00:55:57,41.3712,-73.414,59.86,71,100,5.01
63,Norman Wells,CA,2022-10-02 00:55:58,65.282,-126.8329,46.44,93,75,18.41
64,Mahanoro,MG,2022-10-02 00:55:58,-19.9,48.8,67.69,78,82,1.63
65,Hilo,US,2022-10-02 00:51:29,19.7297,-155.09,88.29,70,0,12.66
66,Goundam,ML,2022-10-02 00:55:59,16.4145,-3.6708,87.42,40,76,7.45
67,Horodnytsya,UA,2022-10-02 00:56:00,50.807,27.3168,54.73,97,100,6.22
68,Provideniya,RU,2022-10-02 00:56:00,64.3833,-173.3,39.81,73,92,15.48
69,Khatanga,RU,2022-10-02 00:56:01,71.9667,102.5,22.39,96,100,11.01
70,Mana,GF,2022-10-02 00:56:01,5.6592,-53.7767,78.6,88,26,8.46
71,Castro,BR,2022-10-02 00:56:02,-24.7911,-50.0119,56.91,93,0,1.83
72,Svetlaya,RU,2022-10-02 00:56:03,46.5389,138.3297,52.88,76,99,6.91
73,Yar-Sale,RU,2022-10-02 00:56:03,66.8333,70.8333,32.36,96,100,16.13
74,Vuktyl,RU,2022-10-02 00:56:04,63.8567,57.3094,39.51,94,100,9.98
75,Tumarbong,PH,2022-10-02 00:56:04,10.3766,119.4579,84.42,73,95,9.48
76,Ngunguru,NZ,2022-10-02 00:56:05,-35.6167,174.5,64.11,78,79,11.9
77,Huambo,AO,2022-10-02 00:56:05,-12.7761,15.7392,62.24,83,35,4.45
78,Upernavik,GL,2022-10-02 00:56:06,72.7868,-56.1549,20.59,86,13,4.76
79,Cockburn Town,TC,2022-10-02 00:56:07,21.4612,-71.1419,82.9,77,100,15.7
80,Basco,PH,2022-10-02 00:56:07,20.4487,121.9702,83.79,76,18,15.37
81,Newport,GB,2022-10-02 00:54:49,51.5877,-2.9984,59.54,84,100,9.19
82,Vestmannaeyjar,IS,2022-10-02 00:56:08,63.4427,-20.2734,46.54,85,100,36.8
83,Port Macquarie,AU,2022-10-02 00:55:47,-31.4333,152.9167,64.89,63,99,8.39
84,Xining,CN,2022-10-02 00:56:09,36.6167,101.7667,55.6,47,100,1.21
85,Albany,US,2022-10-02 00:51:19,42.6001,-73.9662,57.78,75,18,6.17
86,Nouadhibou,MR,2022-10-02 00:56:09,20.931,-17.0347,69.78,73,0,17.27
87,Celestun,MX,2022-10-02 00:56:10,20.8667,-90.4,77.9,62,12,7.9
88,Iqaluit,CA,2022-10-02 00:56:11,63.7506,-68.5145,28.13,79,20,15.01
89,Vatava,RO,2022-10-02 00:56:11,46.9667,24.7667,53.22,95,100,14.5
90,Lima,PE,2022-10-02 00:55:48,-12.0432,-77.0282,62.91,77,100,17.27
91,Labuan,MY,2022-10-02 00:57:12,5.2767,115.2417,84.56,79,20,2.3
92,Mount Isa,AU,2022-10-02 00:57:12,-20.7333,139.5,83.97,17,96,8.05
93,Geraldton,AU,2022-10-02 00:57:13,-28.7667,114.6,66.61,52,6,10.36
94,Pokhvistnevo,RU,2022-10-02 00:57:13,53.6524,52.1274,51.69,56,100,7.83
95,Victoria,HK,2022-10-02 00:55:41,22.2855,114.1577,86.38,81,18,8.99
96,Tiksi,RU,2022-10-02 00:57:14,71.6872,128.8694,20.55,87,100,14.47
97,Rorvik,NO,2022-10-02 00:57:15,64.8621,11.2373,52.41,79,100,7.67
98,Tasiilaq,GL,2022-10-02 00:57:15,65.6145,-37.6368,37.06,98,100,3.94
99,Turbat,PK,2022-10-02 00:57:16,26.0023,63.044,75.94,82,0,4.18
100,Redmond,US,2022-10-02 00:53:38,47.674,-122.1215,79.05,60,0,1.99
101,Half Moon Bay,US,2022-10-02 00:57:16,37.4636,-122.4286,72.03,80,100,9.22
102,Sakaiminato,JP,2022-10-02 00:57:17,35.55,133.2333,69.73,64,20,2.3
103,Cayenne,GF,2022-10-02 00:57:17,4.9333,-52.3333,77.04,94,20,0.0
104,Bilibino,RU,2022-10-02 00:57:18,68.0546,166.4372,33.39,75,100,1.19
105,Raymond,US,2022-10-02 00:57:19,43.9015,-70.4703,53.47,85,97,3.18
106,Kapaa,US,2022-10-02 00:57:19,22.0752,-159.319,84.47,70,16,5.99
107,Puerto Ayora,EC,2022-10-02 00:57:20,-0.7393,-90.3518,64.54,97,99,3.0
108,Laibin,CN,2022-10-02 00:57:20,23.7,109.2667,80.73,79,20,3.83
109,Laguna,US,2022-10-02 00:57:21,38.421,-121.4238,87.46,50,0,11.5
110,Namatanai,PG,2022-10-02 00:57:21,-3.6667,152.4333,85.87,62,19,4.92
111,Qaanaaq,GL,2022-10-02 00:57:22,77.484,-69.3632,5.74,69,0,8.7
112,Kaitangata,NZ,2022-10-02 00:57:22,-46.2817,169.8464,53.65,60,67,9.08
113,Fallon,US,2022-10-02 00:57:18,39.4735,-118.7774,75.92,25,0,6.98
114,Coquimbo,CL,2022-10-02 00:57:23,-29.9533,-71.3436,55.13,94,40,4.61
115,Tomatlan,MX,2022-10-02 00:57:23,19.9333,-105.25,73.22,99,100,4.36
116,Tahoua,NE,2022-10-02 00:57:24,14.8888,5.2692,82.38,74,0,0.0
117,Yellowknife,CA,2022-10-02 00:54:59,62.456,-114.3525,55.92,82,100,16.11
118,Poopo,BO,2022-10-02 00:57:25,-18.3667,-66.9667,49.1,51,3,9.8
119,Barrow,US,2022-10-02 00:57:10,71.2906,-156.7887,27.99,73,100,12.24
120,Clarence Town,AU,2022-10-02 00:57:25,-32.5833,151.7833,64.62,73,68,3.18
121,Payo,ID,2022-10-02 00:57:26,-3.7508,103.6372,75.72,92,100,1.01
122,Poum,NC,2022-10-02 00:57:26,-20.2333,164.0167,74.23,61,100,8.77
123,Torbay,CA,2022-10-02 00:57:27,47.6666,-52.7314,55.58,88,75,18.41
124,Storsteinnes,NO,2022-10-02 00:57:27,69.2408,19.2344,35.38,83,4,3.0
125,Ribeira Grande,PT,2022-10-02 00:57:28,38.5167,-28.7,72.23,88,99,25.7
126,Outjo,NA,2022-10-02 00:57:28,-20.1167,16.15,68.43,28,1,8.57
127,Dolores,AR,2022-10-02 00:57:29,-36.3132,-57.6792,54.05,82,81,7.94
128,Kamenka,RU,2022-10-02 00:57:29,51.3223,42.7678,59.59,92,100,9.01
129,Bengkulu,ID,2022-10-02 00:57:30,-3.8004,102.2655,77.58,85,99,3.13
130,Roma,US,2022-10-02 00:57:30,43.2128,-75.4557,59.72,72,15,4.0
131,Sao Filipe,CV,2022-10-02 00:57:31,14.8961,-24.4956,78.15,75,22,10.16
132,Taunggyi,MM,2022-10-02 00:57:32,20.7833,97.0333,64.45,96,100,3.11
133,Nelson Bay,AU,2022-10-02 00:57:32,-32.7167,152.15,64.09,66,18,4.0
134,Ust-Nera,RU,2022-10-02 00:57:32,64.5667,143.2,23.36,87,100,3.13
135,Khasan,RU,2022-10-02 00:57:33,42.4308,130.6434,62.6,88,100,11.56
136,Longyearbyen,SJ,2022-10-02 00:57:34,78.2186,15.6401,35.44,93,75,3.44
137,Llanes,ES,2022-10-02 00:58:34,43.4198,-4.7549,64.24,72,100,2.91
138,Owensboro,US,2022-10-02 00:58:35,37.7742,-87.1133,65.16,46,0,8.28
139,Narsaq,GL,2022-10-02 00:58:35,60.9167,-46.05,37.09,92,100,4.88
140,Sioux Lookout,CA,2022-10-02 00:58:36,50.1001,-91.917,48.27,76,75,4.61
141,Cherskiy,RU,2022-10-02 00:58:37,68.75,161.3,31.6,94,100,2.68
142,Dreux,FR,2022-10-02 00:58:37,48.6667,1.25,59.99,86,100,13.09
143,Tabatinga,BR,2022-10-02 00:58:38,-4.2525,-69.9381,77.09,94,0,0.0
144,Voyvozh,RU,2022-10-02 00:58:38,62.892,54.9635,40.32,96,100,7.87
145,Boz,FR,2022-10-02 00:58:39,46.4071,4.9109,64.65,98,100,4.85
146,Kavieng,PG,2022-10-02 00:58:39,-2.5744,150.7967,84.27,70,15,10.16
147,Rouvroy,FR,2022-10-02 00:58:40,50.3925,2.904,59.36,87,100,12.03
148,Keti Bandar,PK,2022-10-02 00:58:41,24.1447,67.4497,82.15,64,100,13.22
149,Port Alfred,ZA,2022-10-02 00:58:41,-33.5906,26.891,61.14,82,75,3.24
150,Constitucion,CL,2022-10-02 00:55:56,-35.3333,-72.4167,53.49,87,0,4.92
151,Acarau,BR,2022-10-02 00:58:42,-2.8856,-40.12,77.97,84,16,16.71
152,Aguimes,ES,2022-10-02 00:58:42,27.9054,-15.4461,68.63,78,20,15.01
153,Cravo Norte,CO,2022-10-02 00:58:43,6.3017,-70.2041,74.93,90,72,4.29
154,Vysokogornyy,RU,2022-10-02 00:58:44,50.1167,139.15,45.72,67,100,4.43
155,Havelock,US,2022-10-02 00:58:44,34.8791,-76.9013,70.95,90,17,3.74
156,Port Augusta,AU,2022-10-02 00:58:45,-32.5,137.7667,74.52,29,100,7.25
157,Bluff,NZ,2022-10-02 00:58:45,-46.6,168.3333,50.2,61,18,5.37
158,Ponta Do Sol,PT,2022-10-02 00:58:45,32.6667,-17.1,70.43,80,17,4.9
159,Avera,US,2022-10-02 00:58:46,33.194,-82.5271,70.38,56,94,2.37
160,Acapulco,MX,2022-10-02 00:58:46,16.8634,-99.8901,79.09,85,16,3.44
161,Bayan,CN,2022-10-02 00:58:47,46.0833,127.4,61.79,68,33,6.17
162,Nikolskoye,RU,2022-10-02 00:58:47,59.7035,30.7861,42.69,92,100,3.4
163,Anjiang,CN,2022-10-02 00:58:48,27.3194,110.1031,85.15,60,14,5.3
164,Saint-Philippe,RE,2022-10-02 00:58:48,-21.3585,55.7679,69.39,72,55,9.93
165,Mountain Home,US,2022-10-02 00:57:28,43.133,-115.6912,63.45,36,90,3.02
166,Tsumeb,NA,2022-10-02 00:58:49,-19.2333,17.7167,77.56,16,0,14.2
167,San Quintin,MX,2022-10-02 00:58:49,30.4833,-115.95,68.9,73,0,11.39
168,Aklavik,CA,2022-10-02 00:58:50,68.2191,-135.0107,31.53,93,100,15.17
169,Port Blair,IN,2022-10-02 00:58:51,11.6667,92.75,78.84,89,75,2.3
170,Fairlie,GB,2022-10-02 00:58:51,55.756,-4.8556,54.18,84,33,1.99
171,Camacha,PT,2022-10-02 00:58:52,33.0833,-16.3333,67.42,64,20,9.22
172,Road Town,VG,2022-10-02 00:58:52,18.4167,-64.6167,82.44,94,20,5.75
173,Satipo,PE,2022-10-02 00:58:53,-11.2522,-74.6386,70.84,80,100,2.73
174,Ostrovnoy,RU,2022-10-02 00:58:53,68.0531,39.5131,36.36,87,100,9.35
175,Umm Lajj,SA,2022-10-02 00:58:54,25.0213,37.2685,87.62,32,0,6.4
176,Boende,CD,2022-10-02 00:58:54,-0.2167,20.8667,68.95,99,100,2.46
177,East London,ZA,2022-10-02 00:58:55,-33.0153,27.9116,64.08,80,49,4.97
178,Duma,CN,2022-10-02 00:59:55,34.7653,108.135,63.68,87,46,1.43
179,Bulgan,MN,2022-10-02 00:59:56,48.8125,103.5347,24.85,69,100,6.73
180,Znamenskoye,RU,2022-10-02 00:59:56,57.1281,73.8282,24.94,81,19,3.22
181,Arraial Do Cabo,BR,2022-10-02 00:59:57,-22.9661,-42.0278,68.63,85,44,18.14
182,Samarai,PG,2022-10-02 00:59:57,-10.6167,150.6667,83.14,73,59,12.12
183,Dingle,PH,2022-10-02 00:59:58,10.9995,122.6711,83.88,76,100,7.72
184,Polson,US,2022-10-02 00:58:05,47.6936,-114.1632,65.71,62,99,1.01
185,Avarua,CK,2022-10-02 00:59:58,-21.2078,-159.775,75.25,60,75,19.57
186,Pangai,TO,2022-10-02 00:59:59,-19.8,-174.35,82.51,57,20,16.11
187,Quilali,NI,2022-10-02 00:59:59,13.567,-86.026,73.35,89,100,1.01
188,Chuy,UY,2022-10-02 01:00:00,-33.6971,-53.4616,53.78,92,100,4.97
189,Sayat,TM,2022-10-02 01:00:00,38.7839,63.8803,53.47,22,4,11.07
190,Quebo,GW,2022-10-02 01:00:01,11.3333,-14.9333,75.31,95,100,4.92
191,Hualmay,PE,2022-10-02 01:00:01,-11.0964,-77.6139,62.26,82,51,10.4
192,Airai,TL,2022-10-02 01:00:02,-8.9266,125.4092,71.53,69,47,0.6
193,Copacabana,CO,2022-10-02 01:00:03,6.3463,-75.5089,66.0,98,100,2.62
194,Lunino,RU,2022-10-02 01:00:04,53.5918,45.2271,55.83,91,100,11.5
195,Shieli,KZ,2022-10-02 01:00:05,44.1667,66.75,42.03,31,0,18.45
196,Kieta,PG,2022-10-02 01:00:06,-6.2167,155.6333,85.01,64,7,4.54
197,George Town,MY,2022-10-02 00:58:32,5.4112,100.3354,81.9,86,20,3.44
198,Thompson,CA,2022-10-02 01:00:07,55.7435,-97.8558,44.4,40,35,6.4
199,La Tuque,CA,2022-10-02 01:00:07,47.4334,-72.7824,40.46,61,7,9.1
200,Batsfjord,NO,2022-10-02 01:00:08,70.6345,29.7185,37.18,87,100,3.44
201,Vardo,NO,2022-10-02 01:00:09,70.3705,31.1107,40.01,71,100,4.27
202,Vila Velha,BR,2022-10-02 00:59:15,-20.3297,-40.2925,73.35,83,75,5.75
203,Formosa,AR,2022-10-02 01:00:11,-26.1775,-58.1781,63.43,60,0,6.11
204,Uray,RU,2022-10-02 01:00:12,60.1247,64.7758,27.86,80,100,8.48
205,Fort Nelson,CA,2022-10-02 01:00:13,58.8053,-122.7002,64.6,49,100,1.97
206,Paredon,MX,2022-10-02 01:00:14,16.0333,-93.8667,79.61,66,99,9.95
207,Yazd,IR,2022-10-02 01:00:15,31.8972,54.3675,68.76,25,0,5.26
208,Vila Do Maio,CV,2022-10-02 01:00:15,15.1333,-23.2167,78.55,75,100,10.49
209,Coihaique,CL,2022-10-02 01:00:17,-45.5752,-72.0662,42.75,75,100,2.3
210,Yining,CN,2022-10-02 01:00:17,29.0361,114.5636,89.38,45,0,2.39
211,Mezen,RU,2022-10-02 01:00:18,65.8522,44.24,36.79,98,93,4.92
212,Moron,AR,2022-10-02 01:00:18,-34.6534,-58.6198,64.96,73,100,5.03
213,Russell,US,2022-10-02 01:00:19,32.3502,-85.1999,68.97,47,0,6.17
214,Mangrol,IN,2022-10-02 01:00:20,21.1167,70.1167,79.5,72,21,7.38
215,Manhattan,US,2022-10-02 00:58:34,40.7834,-73.9662,60.51,88,100,15.99
216,Wilmington,US,2022-10-02 00:57:26,34.2257,-77.9447,67.91,78,11,5.1
217,Sarkand,KZ,2022-10-02 00:55:48,45.41,79.9186,32.29,26,0,2.86
218,Turukhansk,RU,2022-10-02 01:00:22,65.8167,87.9833,27.27,88,100,7.74
219,Hambantota,LK,2022-10-02 01:00:22,6.1241,81.1185,77.34,100,40,6.91
220,Alyangula,AU,2022-10-02 01:00:23,-13.8483,136.4192,85.86,43,52,3.96
221,Minudasht,IR,2022-10-02 01:00:24,37.2289,55.3747,68.99,78,65,2.98
222,Barra Do Garcas,BR,2022-10-02 00:56:19,-15.89,-52.2567,79.47,61,100,2.21
223,Hamilton,US,2022-10-02 00:55:31,39.1834,-84.5333,64.89,52,100,3.0
224,Sechura,PE,2022-10-02 01:01:26,-5.5569,-80.8222,63.7,81,3,16.2
225,Vila Franca Do Campo,PT,2022-10-02 01:01:27,37.7167,-25.4333,74.19,85,95,11.36
226,Hanmer Springs,NZ,2022-10-02 01:01:27,-42.5167,172.8167,43.29,94,100,2.84
227,Koson,UZ,2022-10-02 01:01:28,39.0375,65.585,50.32,25,3,6.71
228,Lagoa,PT,2022-10-02 01:01:29,39.05,-27.9833,71.17,86,92,25.28
229,Severo-Kurilsk,RU,2022-10-02 01:01:29,50.6789,156.125,46.15,69,57,25.59
230,Pervomayskoye,RU,2022-10-02 01:01:30,43.919,46.7102,63.73,80,17,8.19
231,Eyl,SO,2022-10-02 01:01:30,7.9803,49.8164,75.47,83,85,14.03
232,Esperance,AU,2022-10-02 00:57:07,-33.8667,121.9,57.92,70,100,17.78
233,Marawi,PH,2022-10-02 01:01:31,7.9986,124.2928,79.65,68,98,1.68
234,Mahuva,IN,2022-10-02 01:01:32,21.0914,71.7622,76.71,85,0,6.42
235,Alofi,NU,2022-10-02 01:01:32,-19.0595,-169.9187,75.87,65,100,18.12
236,Plouzane,FR,2022-10-02 01:01:33,48.3833,-4.6167,61.12,100,100,14.97
237,Tuktoyaktuk,CA,2022-10-02 01:01:33,69.4541,-133.0374,30.9,85,100,17.02
238,Tuatapere,NZ,2022-10-02 01:01:34,-46.1333,167.6833,52.81,63,26,1.1
239,Carnarvon,AU,2022-10-02 01:01:34,-24.8667,113.6333,70.3,59,0,12.17
240,San Ramon,US,2022-10-02 01:00:08,37.7799,-121.978,73.26,73,11,7.0
241,Oyama,JP,2022-10-02 01:01:35,36.3,139.8,76.59,43,38,2.64
242,Husavik,IS,2022-10-02 00:57:16,66.0449,-17.3389,45.57,96,100,7.83
243,Guangshui,CN,2022-10-02 01:01:36,31.6199,113.9978,89.38,46,36,14.52
244,Ahwa,IN,2022-10-02 01:01:36,20.75,73.6833,68.36,94,5,2.55
245,Trairi,BR,2022-10-02 00:57:39,-3.2778,-39.2689,77.81,85,37,12.77
246,Bilma,NE,2022-10-02 01:01:37,18.6853,12.9164,89.76,22,5,9.93
247,Hersbruck,DE,2022-10-02 01:01:38,49.5125,11.4339,54.73,88,80,9.82
248,Mossendjo,CG,2022-10-02 01:01:38,-2.9506,12.7261,69.39,98,100,2.91
249,Flin Flon,CA,2022-10-02 01:01:39,54.7682,-101.865,50.7,68,0,6.87
250,Salym,RU,2022-10-02 01:01:39,60.0625,71.4789,24.8,84,51,5.73
251,Grand-Santi,GF,2022-10-02 01:01:40,4.25,-54.3833,77.67,71,65,3.65
252,Pisco,PE,2022-10-02 00:59:46,-13.7,-76.2167,60.85,82,0,16.11
253,Haines Junction,CA,2022-10-02 01:01:41,60.7522,-137.5108,39.92,97,100,6.02
254,Bongandanga,CD,2022-10-02 01:01:41,1.5,21.05,69.78,98,100,2.51
255,Solnechnyy,RU,2022-10-02 01:01:42,50.7214,136.6319,48.97,70,100,8.93
256,Henties Bay,NA,2022-10-02 01:01:42,-22.116,14.2845,55.58,89,3,5.66
257,Khandyga,RU,2022-10-02 01:01:43,62.6667,135.6,29.64,69,85,3.2
258,Bedele,ET,2022-10-02 01:01:43,8.456,36.353,51.93,95,100,1.99
259,Tawang,IN,2022-10-02 01:01:44,27.5833,91.8667,54.79,76,46,3.36
260,Scottsbluff,US,2022-10-02 01:01:44,41.8666,-103.6672,67.28,71,81,1.01
261,Nalut,LY,2022-10-02 01:01:45,30.3333,10.85,73.62,77,4,21.72
262,Beinamar,TD,2022-10-02 01:01:45,8.6698,15.3813,70.23,96,70,5.44
263,Nikolayevka,RU,2022-10-02 01:01:46,53.1257,47.2041,54.57,92,100,8.32
264,Quelimane,MZ,2022-10-02 01:01:46,-17.8786,36.8883,69.75,94,0,0.0
265,Litovko,RU,2022-10-02 01:01:47,49.2361,135.1742,51.62,75,100,4.25
266,Natal,BR,2022-10-02 01:01:47,-5.795,-35.2094,74.05,94,20,2.3
267,Jacareacanga,BR,2022-10-02 01:01:48,-6.2222,-57.7528,76.24,79,96,1.97
268,Faanui,PF,2022-10-02 01:02:48,-16.4833,-151.75,78.6,66,42,11.05
269,Ayolas,PY,2022-10-02 01:02:49,-27.4,-56.9,60.26,80,0,6.62
270,Srednekolymsk,RU,2022-10-02 01:02:49,67.45,153.6833,28.81,75,100,8.79
271,Gibara,CU,2022-10-02 01:02:50,21.1097,-76.1317,77.54,86,47,9.44
272,Vitim,RU,2022-10-02 01:02:50,59.4511,112.5578,30.22,71,100,6.55
273,Naze,JP,2022-10-02 01:02:51,28.3667,129.4833,77.52,74,39,11.43
274,Waipawa,NZ,2022-10-02 01:02:51,-41.4122,175.5153,47.8,97,100,12.06
275,Hasaki,JP,2022-10-02 01:02:52,35.7333,140.8333,80.22,61,54,10.54
276,Gornopravdinsk,RU,2022-10-02 01:02:52,60.05,69.9,24.75,86,18,6.15
277,Mount Gambier,AU,2022-10-02 01:02:53,-37.8333,140.7667,65.68,56,100,1.99
278,Cabo San Lucas,MX,2022-10-02 01:00:01,22.8909,-109.9124,87.62,75,2,4.65
